School Name,Mobile Number,Telephone Number,Address
"International Public School in Mandideep, Bhopal",9301477005,,"Mandideep, Bhopal - 462046, Gram Behrapur, Misrod"
"Billabong High International School in Neelbad, Bhopal",,755-2696799,"Neelbad, Bhopal - 462044, Near Beyond Bhadbhada Neelbad"
"Delhi Public Schools in Kolar Road, Bhopal",,755-3006300,"Kolar Road, Bhopal - 462042, Bairagarh, Chichili"
"Bal Bhawan School & Westwind Kindergarten in Shamla Hills, Bhopal",,755-2661052,"Shamla Kothi Annexe, Shamla Hills, Bhopal - 462013, Near  Hotel Jehan Numa Palace"
"Holy Family Convent School in Gandhinagar, Bhopal",,755-2643826,"Gandhinagar, Bhopal - 462036, Shanti Nagar Post Office, Karuna"
"Mother Teresa Secondary School in Kolar Road, Bhopal",,755-3879297,"Kolar Road, Kolar Road, Bhopal - 462042, Habibganj"
"Subhash Higher Secondary School in Shivaji Nagar, Bhopal",,755-2552490,"Shivaji Nagar, Bhopal - 462016"
"Kendriya Vidyalaya in Shivaji Nagar, Bhopal",,755-2576442,"Shivaji Nagar, Bhopal - 462016, Behind Bus Stop No 7"
"ST. Mary Convent Higher Secondary School in Tulsi Nagar, Bhopal",,755-2233340,"1250 Quarters, Tulsi Nagar, Bhopal - 462003, Tulsi Nagar"
"Carmel Convent School in Habibganj, Bhopal",,755-2499205,"Mandideep Road, Habibganj, Bhopal - 462026, Ratanpur Misrod"
"Kendriya Vidyalaya Sangathan in Arera Hills, Bhopal",,755-2550728,"Arera Hills, Bhopal - 462011, Opp Maida Mill"
"Army Public School in Nehru Nagar, Bhopal",,755-2970386,"Nehru Nagar, Bhopal - 462003, Dronanchal Neori Hills,Po Motilal"
"Sharda Vidya Mandir in Bhadbhada Road, Bhopal",,755-2696951,"Bhadbhada Road, Bhopal - 462003, Barkhedi Kalan, Near Bhadbhada"
"St Theresa Girls School in Piplani, Bhopal",,755-2756241,"591/C3 B Sector, Piplani, Bhopal - 462022, Bhel"
"Kendriya Vidyalaya in Bairagarh, Bhopal",,755-2641244,"3 Eme Centre, Bairagarh, Bhopal - 462030, near bairagad raliway station"
"Kamla Nehru Public Higher Secondary School in Kotra, Bhopal",,755-4244355,"Kotra, Bhopal - 462003, Kamla Nagar Colony ,Sultanabad"
"Mansarovar Public School in Kolar Road, Bhopal",,755-2492554,"Mansarovar Campus, Danish Kunj Main Road, Kolar Road, Bhopal - 462042, Opposite Beema Kunj, Near H P Petrol Pump"
"Bonnie Foi Co-ed School in Govindpura, Bhopal",,755-2580064,"Govindpura, Bhopal - 462023, Opposite Bijli Nagar Colony, Govind Garden"
"Shree Bhavans Bharti Public School in Kerwa Dam, Bhopal",,755-2696850,"Plot No  46/2, Kerwa Dam Road, Kerwa Dam, Bhopal - 462044, Near Sakshi Dhaba"
"St Marys Convent Senior Secondary School in Bhopal Gpo, Bhopal",9425301620,,"1250 Qtrs Tulsi Nagar Bhopal, Bhopal Gpo, Bhopal - 462001"
"Maharishi Vidya Mandir in Hoshangabad Road, Bhopal",,755-4000626,"Bhopal Nagpur Road, Hoshangabad Road, Bhopal - 462011, Ratanpur, Misrod, Opposite Funcity"
"Kendriya Vidyalaya in Bawadia Kalan, Bhopal",,755-4297829,"Hoshangabad Road, Bawadia Kalan, Bhopal - 462026, Near Danish Naga, Near Aashima Mall"
"Anand Vihar School in Tulsi Nagar, Bhopal",,755-2552792,"Link Road No 1, Tulsi Nagar, Bhopal - 462003, Near New Market, Opposite to Gujrati Samaj"
"Sage International School in Kolar Road, Bhopal",,755-3983171,"Kolar Road Danish Kunj 5, 80 Feet Road Village Sankhedi, Kolar Road, Bhopal - 462042, Near Giridhir Parishar"
"Gyan Ganga International Academy in Misord, Bhopal",,755-4023900,"Hoshangabad Road, NH 12, Misord, Bhopal - 462047, Near Amer Green Hotel, Ratanpur"
"Asnani School Bhopal in Hoshangabad Road, Bhopal",,755-2985828,"Hoshangabad Road, Bhopal - 462011, Near Pebble Bay"
"Mount Carmel School in Hoshangabad Road, Bhopal",,755-2480727,"Arvind Vihar,, Bagh Mugalia,Hoshangabad Road, Hoshangabad Road, Bhopal - 462011"
"Hema Higher Secondary School in Govindpura, Bhopal",,755-2587270,"D Sector, Govindpura, Bhopal - 462023, Security Lines Bhel"
"Ideal Higher Secondary School in Govindpura, Bhopal",,755-4260445,"6, Raisen Road, Govindpura, Bhopal - 462023, Punjabi Bagh,Gurudwara"
"Shemrock Honey Kids in Kolar Road, Bhopal",7947296207,,"9-Dk- 3/229 Danish Kunj, Kolar Road, Bhopal - 462042, Near Danish kunj square"
"Mothers Pride Convent Public School in Sultania Road, Bhopal",,755-2730777,"58, Old Kotwali Road, Sultania Road, Bhopal - 462001, Lialabhuj Road"
"World Way International School in Arera Colony, Bhopal",,755-4276668,"E/8, Extension, Gulmohar Road, Arera Colony, Bhopal - 462039, Near Aakriti Eco City"
"St.Josephs Co-Ed School in Bhopal Gpo, Bhopal",,755-2879460,"Divine Nagar, Gehunkheda,, Kolar Road, Bhopal, Bhopal Gpo, Bhopal - 462001"
"Mithi Gobindram Public School in Sant Hirdaram Nagar, Bhopal",,755-2640176,"Lake Road,, Bairagarh, Bhopal, Sant Hirdaram Nagar, Bhopal - 462030"
"Hind Convent School in Aish Bagh, Bhopal",,755-2705634,"14 Iqbal Nagar, Aish Bagh, Bhopal - 462010, Ashok Vihar"
"Gvn The Global School in Bhel, Bhopal",,755-2580041,"Sector - C,, Bhel, Bhopal - 462022, Govindpura"
"St Francis Higher Secondary School in Jahangirabad, Bhopal",,755-2573015,"Jinsi Road, Jahangirabad, Bhopal - 462008"
"Kopal High Secondary School in Nehru Nagar, Bhopal",,755-2762232,"Main Road,Neelbad Road, Nehru Nagar, Bhopal - 462003, Kotra Sultanabad,Barkhedi Kalan"
"Sagar Public School in Gulmohar Colony, Bhopal",7553243300,,"Sagar Public School, Rohit Nagar, Rohit Nagar, Gulmohar Colony, Bhopal - 462039, Near Akriti Eco City"
"Sarojini Naidu Girls Higher Secondary School in Char Imli, Bhopal",8989812598,,"No 6 Locality, Char Imli, Bhopal - 462016"
"Demonstration Multipurpose School in Shamla Hills, Bhopal",,755-2661219,"Shamla Hills, Bhopal - 462013, Nr Janma Hotel"
"Ideal Higher Scendary School in Raisen, Bhopal",,755-2592469,"6, Raisen Road , Punjabi Bagh, Guru Nanak Mandir, Raisen Road, Punjabi Bagh, Guru Nanak Mandi, Raisen, Bhopal - 462023"
"Mayflower Public School in Sultanbad, Bhopal",,755-4286912,"Sultanbad, Bhopal - 462003, Bhd Veeranagana Laxmi Parisar, Kotra"
"M K N School in Govindpura, Bhopal",,755-2601036,"Sector B, Govindpura, Bhopal - 462023"
"Jawahar Navodaya Vidyalaya in Ratibad, Bhopal",,755-2896648,"Ratibad, Bhopal - 462002, Po Suraj Nagar, Near Patel Engineering College"
"Gems Public School in Katara Hills, Bhopal",7771010328,,"Katara Main Road, Katara Hills, Bhopal - 462043"
"Bal Bharati Public School in Nishatpura, Bhopal",,755-2730206,"Nishatpura, Bhopal - 462013, Railway Coach Rehabilitation Workshop"
"Crescent Public School in Jahangirabad, Bhopal",,755-4916778,"Chiklod Road, Jahangirabad, Bhopal - 462008"
"Raja Bhoj Higher Secondary School in Arera Colony, Bhopal",8120608961,,"No 10, Arera Colony, Bhopal - 462016, Parisad, Galla Mandi, 1100 Quarters"
"Kamla Devi Public School in Bhanpur, Bhopal",,755-2970179,"Chhola Over Bridge Road, Bhanpur, Bhopal - 462010, Behind BMHRC,Near Karond Mandi"
"Kendriya Vidyalaya in Jahangirabad, Bhopal",8412659741,,"Maida Mill Road, Jahangirabad, Bhopal - 462008, Slums"
"All Saints School in Gandhinagar, Bhopal",,755-2528644,"National Highway 12, Gandhinagar, Bhopal - 462036, Phasing International Airport"
"Kendriya Vidyalaya C R P F in Bangrasia, Bhopal",,7480-262411,"Bhojpur Road, Bangrasia, Bhopal - 462045"
"Govt Girls Higher Secondary School in Jahangirabad, Bhopal",,755-2764360,"Jahangirabad, Bhopal - 462008"
"Daffodils Higher Secondary School in Ashoka Garden, Bhopal",,755-4252401,"H.No.36 Iqbal Colony New Ashoka Garden Bhopal, Ashoka Garden, Bhopal - 462023"
"St. Joseph International School For Excellence in , Bhopal",8319173824,,"Tarasevania, Near Paravalia Sadak, Bhopal, Bhopal - 462030"
"St. Joseph International School For Excellence in Air Port, Bhopal",7947296264,,"Tara Shivanaya, Parvaliya Sadak, Air Port, Bhopal - 462030, Near Airport,"
"Mahatma Gandhi Higher Secondary School in Awadhpuri, Bhopal",7224881864,,"Sector A, Berkheda, Awadhpuri, Bhopal - 462022, Behind Side Of Govt Pg College"
"G B Pant Higher Secondary School in Ashoka Garden, Bhopal",9179413150,,"Swadesh Nagar, Samrat Colony, Ashoka Garden, Bhopal - 462023"
"Red Rose School in Berasia Road, Bhopal",,755-2854662,"119/120, Lambakheda Berasia Road, Berasia Road, Bhopal - 462001, Near Hp Petrol Pump Near Maharshi School"
"Kidzee Ashoka Garden in Ashoka Garden, Bhopal",,755-4010305,"House No- 152, Ashoka Garden, Bhopal - 462023, Behind Sam Girls College"
"Nalanda Public School in Arera Colony, Bhopal",,755-2464667,"E3/196, Arera Colony, Bhopal - 462016"
"USPA - United School Of Performing Art in Misrod, Bhopal",7947295395,,"D-1/148, Danish Nagar, Misrod, Bhopal - 462026, Aashima Mall"
"Cambridge H.s. School in IDGAH Hills, Bhopal",,755-2541178,"IDGAH Hills, Bhopal - 462001, Lower Idgah Hills, Near Bhopal Gate,State Bank Chouraha,"
"Holy Cross Co-Ed School in Fanda, Bhopal",,755-2854676,"Lambakheda, Berasia Road, Bhopal, Fanda, Bhopal - 462030"
"John Bosco Public School in Aish Bagh, Bhopal",,7480-2759666,"JOHN BOSCO PUBLIC SCHOOL, Naveen Nagar, Aish Bagh, Bhopal - 462010"
"Neo MyPlanet Bagless PreSchool Katara Hills in Katara Hills, Bhopal",8839223066,,"C-9, Fortune Soumya Atlantis, Katara Hills, Bhopal - 462043, Near Signature City"
"Jawaharlal Nehru School P.W. in Govindpura, Bhopal",,755-2503708,"Road, Ward 43, Govindpura, Bhopal - 462023"
"Shaskiya Kamla Nehru Girls Higher Secondary School in Tt Nagar, Bhopal",9425015999,,"Tin Shed, New Market, North, Tt Nagar, Bhopal - 462003"
"St George Co Ed S R Secondary School in Karond, Bhopal",,755-2980472,"Berasia Road, Karond, Bhopal - 462038, Opp. BMHRC Hospital"
"Sri Aurobindo School in Tulsi Nagar, Bhopal",,755-2558286,"Tulsi Nagar, Bhopal - 462003, Behind Kannad Bhawan"
"Canyon Higher Secondary School in Ghora Nakkas, Bhopal",,755-2544111,"Mandir Mahadev Road, Ghora Nakkas, Bhopal - 462001, Behind Market, Somwara"
"St. Michaels H.S School in Lakherapura, Bhopal",,755-2740918,"Tolwali Masjid Road Ibrahim Pura, Distt. Bhopal (M.P .), Lakherapura, Bhopal - 462001"
"Bhopal Public School in Saket Nagar, Bhopal",,755-2414744,"Sector 2 A, Aiim Road, Saket Nagar, Bhopal - 462024, Near Jain Mandir"
"Kanha Kids A Play School & Day Care in Kolar Road, Bhopal",9329214777,,"80/1/ M Sector,Lalita Nagar, Raj Harsh Colony ,Naya Pura, Kolar Road, Bhopal - 462042, Near Nirmala Devi Gate,Near Lotus Hospital"
"Suraj Premier Convent Higher Secondary School in Bhanpur, Bhopal",7947295175,,"Shiv Nagar Main Road, Vidisha Road, Bhanpur, Bhopal - 462010, Near Jain Mandir"
"The First Step Pre-school in Lalghati, Bhopal",7947295387,,"House No 8/9, Gufha Mandir Road, Lalghati, Bhopal - 462030, Near Maheshwari Hospital"
"New Dimension Schools in Bhopal, Bhopal",,755-4250167,"119 and 120, Housing Board Colony, Bhopal, Bhopal - 462001"
"Campion School in Arera Colony, Bhopal",,755-2464155,"E/7 Bulding, Arera Colony, Bhopal - 462016"
"St Josephs Co Education School in Arera Colony, Bhopal",,755-2565434,"E/6, cfg, Arera Colony, Bhopal - 462016"
"Carmel Convent Government Higher Secondary School in Govindpura, Bhopal",,755-2488578,"Govindpura, Bhopal - 462023, Bhel"
"Delhi Public Schools in Neelbad, Bhopal",,755-6611400,"DPS Campus, Bhadbhada Road, Neelbad, Bhopal - 462044, Near Neelbad Crossing"
"St Joseph Convent Senior Sec School in Idgah Hills, Bhopal",,755-2541266,"Old Bhopal, Royal Market, Idgah Hills, Bhopal - 462001, Near Royal Market"
"The Sanskaar Valley School in Chandanpura, Bhopal",8889533349,,"Baabada Road, Chandanpura, Bhopal - 462016, Sakshi Dhaba"
"Sage International School in Ayodhya Nagar, Bhopal",,755-3983171,"Ayodhya Bypass Road, Ayodhya Nagar, Bhopal - 462041, Near Sirt, K-Sector"
"Sagar Public School in Saket Nagar, Bhopal",,755-2489603,"Plot No 9/A, Saket Nagar, Bhopal - 462024"
"Jawaharlal Nehru School in Habibganj, Bhopal",,755-2505375,"Habib Ganj Bhel Township, Habibganj, Bhopal - 462024"
"St Xaviers Senior Secondary Co Ed School in Bhel, Bhopal",,755-2620072,"Bhel, Bhopal - 462021, Barkhera, Sector C"
"Model Higher Secondary School in Tt Nagar, Bhopal",,755-2764336,"Tt Nagar, Bhopal - 462003, Near New Market"
"Kendriya Vidyalaya in Shikshamandal, Bhopal",,755-2551640,"Hoshangabad Road, Shikshamandal, Bhopal - 462011, Opposite Central India Flour Mills ,Behind State Bank Local Head Office"
"International Public School in Mandideep, Bhopal",9301477005,,"Mandideep, Bhopal - 462046, Gram Behrapur, Misrod"
"Billabong High International School in Neelbad, Bhopal",,755-2696799,"Neelbad, Bhopal - 462044, Near Beyond Bhadbhada Neelbad"
"Delhi Public Schools in Kolar Road, Bhopal",,755-3006300,"Kolar Road, Bhopal - 462042, Bairagarh, Chichili"
"Bal Bhawan School & Westwind Kindergarten in Shamla Hills, Bhopal",,755-2661052,"Shamla Kothi Annexe, Shamla Hills, Bhopal - 462013, Near  Hotel Jehan Numa Palace"
"Holy Family Convent School in Gandhinagar, Bhopal",,755-2643826,"Gandhinagar, Bhopal - 462036, Shanti Nagar Post Office, Karuna"
"Mother Teresa Secondary School in Kolar Road, Bhopal",,755-3879297,"Kolar Road, Kolar Road, Bhopal - 462042, Habibganj"
"Subhash Higher Secondary School in Shivaji Nagar, Bhopal",,755-2552490,"Shivaji Nagar, Bhopal - 462016"
"Kendriya Vidyalaya in Shivaji Nagar, Bhopal",,755-2576442,"Shivaji Nagar, Bhopal - 462016, Behind Bus Stop No 7"
"ST. Mary Convent Higher Secondary School in Tulsi Nagar, Bhopal",,755-2233340,"1250 Quarters, Tulsi Nagar, Bhopal - 462003, Tulsi Nagar"
"Carmel Convent School in Habibganj, Bhopal",,755-2499205,"Mandideep Road, Habibganj, Bhopal - 462026, Ratanpur Misrod"
"Kendriya Vidyalaya Sangathan in Arera Hills, Bhopal",,755-2550728,"Arera Hills, Bhopal - 462011, Opp Maida Mill"
"Army Public School in Nehru Nagar, Bhopal",,755-2970386,"Nehru Nagar, Bhopal - 462003, Dronanchal Neori Hills,Po Motilal"
"Sharda Vidya Mandir in Bhadbhada Road, Bhopal",,755-2696951,"Bhadbhada Road, Bhopal - 462003, Barkhedi Kalan, Near Bhadbhada"
"St Theresa Girls School in Piplani, Bhopal",,755-2756241,"591/C3 B Sector, Piplani, Bhopal - 462022, Bhel"
"Kendriya Vidyalaya in Bairagarh, Bhopal",,755-2641244,"3 Eme Centre, Bairagarh, Bhopal - 462030, near bairagad raliway station"
"Kamla Nehru Public Higher Secondary School in Kotra, Bhopal",,755-4244355,"Kotra, Bhopal - 462003, Kamla Nagar Colony ,Sultanabad"
"Mansarovar Public School in Kolar Road, Bhopal",,755-2492554,"Mansarovar Campus, Danish Kunj Main Road, Kolar Road, Bhopal - 462042, Opposite Beema Kunj, Near H P Petrol Pump"
"Bonnie Foi Co-ed School in Govindpura, Bhopal",,755-2580064,"Govindpura, Bhopal - 462023, Opposite Bijli Nagar Colony, Govind Garden"
"Shree Bhavans Bharti Public School in Kerwa Dam, Bhopal",,755-2696850,"Plot No  46/2, Kerwa Dam Road, Kerwa Dam, Bhopal - 462044, Near Sakshi Dhaba"
"St Marys Convent Senior Secondary School in Bhopal Gpo, Bhopal",9425301620,,"1250 Qtrs Tulsi Nagar Bhopal, Bhopal Gpo, Bhopal - 462001"
"Maharishi Vidya Mandir in Hoshangabad Road, Bhopal",,755-4000626,"Bhopal Nagpur Road, Hoshangabad Road, Bhopal - 462011, Ratanpur, Misrod, Opposite Funcity"
"Kendriya Vidyalaya in Bawadia Kalan, Bhopal",,755-4297829,"Hoshangabad Road, Bawadia Kalan, Bhopal - 462026, Near Danish Naga, Near Aashima Mall"
"Anand Vihar School in Tulsi Nagar, Bhopal",,755-2552792,"Link Road No 1, Tulsi Nagar, Bhopal - 462003, Near New Market, Opposite to Gujrati Samaj"
"Sage International School in Kolar Road, Bhopal",,755-3983171,"Kolar Road Danish Kunj 5, 80 Feet Road Village Sankhedi, Kolar Road, Bhopal - 462042, Near Giridhir Parishar"
"Gyan Ganga International Academy in Misord, Bhopal",,755-4023900,"Hoshangabad Road, NH 12, Misord, Bhopal - 462047, Near Amer Green Hotel, Ratanpur"
"Asnani School Bhopal in Hoshangabad Road, Bhopal",,755-2985828,"Hoshangabad Road, Bhopal - 462011, Near Pebble Bay"
"Mount Carmel School in Hoshangabad Road, Bhopal",,755-2480727,"Arvind Vihar,, Bagh Mugalia,Hoshangabad Road, Hoshangabad Road, Bhopal - 462011"
"Hema Higher Secondary School in Govindpura, Bhopal",,755-2587270,"D Sector, Govindpura, Bhopal - 462023, Security Lines Bhel"
"Ideal Higher Secondary School in Govindpura, Bhopal",,755-4260445,"6, Raisen Road, Govindpura, Bhopal - 462023, Punjabi Bagh,Gurudwara"
"Shemrock Honey Kids in Kolar Road, Bhopal",7947296207,,"9-Dk- 3/229 Danish Kunj, Kolar Road, Bhopal - 462042, Near Danish kunj square"
"Mothers Pride Convent Public School in Sultania Road, Bhopal",,755-2730777,"58, Old Kotwali Road, Sultania Road, Bhopal - 462001, Lialabhuj Road"
"World Way International School in Arera Colony, Bhopal",,755-4276668,"E/8, Extension, Gulmohar Road, Arera Colony, Bhopal - 462039, Near Aakriti Eco City"
"St.Josephs Co-Ed School in Bhopal Gpo, Bhopal",,755-2879460,"Divine Nagar, Gehunkheda,, Kolar Road, Bhopal, Bhopal Gpo, Bhopal - 462001"
"Mithi Gobindram Public School in Sant Hirdaram Nagar, Bhopal",,755-2640176,"Lake Road,, Bairagarh, Bhopal, Sant Hirdaram Nagar, Bhopal - 462030"
"Hind Convent School in Aish Bagh, Bhopal",,755-2705634,"14 Iqbal Nagar, Aish Bagh, Bhopal - 462010, Ashok Vihar"
"Gvn The Global School in Bhel, Bhopal",,755-2580041,"Sector - C,, Bhel, Bhopal - 462022, Govindpura"
"St Francis Higher Secondary School in Jahangirabad, Bhopal",,755-2573015,"Jinsi Road, Jahangirabad, Bhopal - 462008"
"Kopal High Secondary School in Nehru Nagar, Bhopal",,755-2762232,"Main Road,Neelbad Road, Nehru Nagar, Bhopal - 462003, Kotra Sultanabad,Barkhedi Kalan"
"Sagar Public School in Gulmohar Colony, Bhopal",7553243300,,"Sagar Public School, Rohit Nagar, Rohit Nagar, Gulmohar Colony, Bhopal - 462039, Near Akriti Eco City"
"Sarojini Naidu Girls Higher Secondary School in Char Imli, Bhopal",8989812598,,"No 6 Locality, Char Imli, Bhopal - 462016"
"Demonstration Multipurpose School in Shamla Hills, Bhopal",,755-2661219,"Shamla Hills, Bhopal - 462013, Nr Janma Hotel"
"Ideal Higher Scendary School in Raisen, Bhopal",,755-2592469,"6, Raisen Road , Punjabi Bagh, Guru Nanak Mandir, Raisen Road, Punjabi Bagh, Guru Nanak Mandi, Raisen, Bhopal - 462023"
"Mayflower Public School in Sultanbad, Bhopal",,755-4286912,"Sultanbad, Bhopal - 462003, Bhd Veeranagana Laxmi Parisar, Kotra"
"M K N School in Govindpura, Bhopal",,755-2601036,"Sector B, Govindpura, Bhopal - 462023"
"Jawahar Navodaya Vidyalaya in Ratibad, Bhopal",,755-2896648,"Ratibad, Bhopal - 462002, Po Suraj Nagar, Near Patel Engineering College"
"Gems Public School in Katara Hills, Bhopal",7771010328,,"Katara Main Road, Katara Hills, Bhopal - 462043"
"Bal Bharati Public School in Nishatpura, Bhopal",,755-2730206,"Nishatpura, Bhopal - 462013, Railway Coach Rehabilitation Workshop"
"Crescent Public School in Jahangirabad, Bhopal",,755-4916778,"Chiklod Road, Jahangirabad, Bhopal - 462008"
"Raja Bhoj Higher Secondary School in Arera Colony, Bhopal",8120608961,,"No 10, Arera Colony, Bhopal - 462016, Parisad, Galla Mandi, 1100 Quarters"
"Kamla Devi Public School in Bhanpur, Bhopal",,755-2970179,"Chhola Over Bridge Road, Bhanpur, Bhopal - 462010, Behind BMHRC,Near Karond Mandi"
"Kendriya Vidyalaya in Jahangirabad, Bhopal",8412659741,,"Maida Mill Road, Jahangirabad, Bhopal - 462008, Slums"
"All Saints School in Gandhinagar, Bhopal",,755-2528644,"National Highway 12, Gandhinagar, Bhopal - 462036, Phasing International Airport"
"Kendriya Vidyalaya C R P F in Bangrasia, Bhopal",,7480-262411,"Bhojpur Road, Bangrasia, Bhopal - 462045"
"Govt Girls Higher Secondary School in Jahangirabad, Bhopal",,755-2764360,"Jahangirabad, Bhopal - 462008"
"Daffodils Higher Secondary School in Ashoka Garden, Bhopal",,755-4252401,"H.No.36 Iqbal Colony New Ashoka Garden Bhopal, Ashoka Garden, Bhopal - 462023"
"St. Joseph International School For Excellence in , Bhopal",8319173824,,"Tarasevania, Near Paravalia Sadak, Bhopal, Bhopal - 462030"
"St. Joseph International School For Excellence in Air Port, Bhopal",7947296264,,"Tara Shivanaya, Parvaliya Sadak, Air Port, Bhopal - 462030, Near Airport,"
"Mahatma Gandhi Higher Secondary School in Awadhpuri, Bhopal",7224881864,,"Sector A, Berkheda, Awadhpuri, Bhopal - 462022, Behind Side Of Govt Pg College"
"G B Pant Higher Secondary School in Ashoka Garden, Bhopal",9179413150,,"Swadesh Nagar, Samrat Colony, Ashoka Garden, Bhopal - 462023"
"Red Rose School in Berasia Road, Bhopal",,755-2854662,"119/120, Lambakheda Berasia Road, Berasia Road, Bhopal - 462001, Near Hp Petrol Pump Near Maharshi School"
"Kidzee Ashoka Garden in Ashoka Garden, Bhopal",,755-4010305,"House No- 152, Ashoka Garden, Bhopal - 462023, Behind Sam Girls College"
"Nalanda Public School in Arera Colony, Bhopal",,755-2464667,"E3/196, Arera Colony, Bhopal - 462016"
"USPA - United School Of Performing Art in Misrod, Bhopal",7947295395,,"D-1/148, Danish Nagar, Misrod, Bhopal - 462026, Aashima Mall"
"Cambridge H.s. School in IDGAH Hills, Bhopal",,755-2541178,"IDGAH Hills, Bhopal - 462001, Lower Idgah Hills, Near Bhopal Gate,State Bank Chouraha,"
"Holy Cross Co-Ed School in Fanda, Bhopal",,755-2854676,"Lambakheda, Berasia Road, Bhopal, Fanda, Bhopal - 462030"
"John Bosco Public School in Aish Bagh, Bhopal",,7480-2759666,"JOHN BOSCO PUBLIC SCHOOL, Naveen Nagar, Aish Bagh, Bhopal - 462010"
"Neo MyPlanet Bagless PreSchool Katara Hills in Katara Hills, Bhopal",8839223066,,"C-9, Fortune Soumya Atlantis, Katara Hills, Bhopal - 462043, Near Signature City"
"Jawaharlal Nehru School P.W. in Govindpura, Bhopal",,755-2503708,"Road, Ward 43, Govindpura, Bhopal - 462023"
"Shaskiya Kamla Nehru Girls Higher Secondary School in Tt Nagar, Bhopal",9425015999,,"Tin Shed, New Market, North, Tt Nagar, Bhopal - 462003"
"St George Co Ed S R Secondary School in Karond, Bhopal",,755-2980472,"Berasia Road, Karond, Bhopal - 462038, Opp. BMHRC Hospital"
